Project ID;Time period start;Time period end;Content API calls count
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-03-18T16:00:00;2019-03-18T17:00:00;1
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-03-18T19:00:00;2019-03-18T20:00:00;1
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-03-19T17:00:00;2019-03-19T18:00:00;5
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-03-20T15:00:00;2019-03-20T16:00:00;9
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-03-21T14:00:00;2019-03-21T15:00:00;18
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-03-21T15:00:00;2019-03-21T16:00:00;3
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-03-21T16:00:00;2019-03-21T17:00:00;64
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-10T12:00:00;2019-04-10T13:00:00;1
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-11T18:00:00;2019-04-11T19:00:00;15
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-11T19:00:00;2019-04-11T20:00:00;10
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-11T20:00:00;2019-04-11T21:00:00;14
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-11T21:00:00;2019-04-11T22:00:00;22
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-12T13:00:00;2019-04-12T14:00:00;5
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-12T15:00:00;2019-04-12T16:00:00;3
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-12T16:00:00;2019-04-12T17:00:00;3
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-16T16:00:00;2019-04-16T17:00:00;18
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-16T19:00:00;2019-04-16T20:00:00;1
aaaaaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-17T12:00:00;2019-04-17T13:00:00;22
bbbbaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-10T14:00:00;2019-04-10T15:00:00;20
bbbbaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-10T17:00:00;2019-04-10T18:00:00;3
bbbbaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-11T12:00:00;2019-04-11T13:00:00;6
bbbbaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-11T14:00:00;2019-04-11T15:00:00;10
ccccaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-12T17:00:00;2019-04-12T18:00:00;15
ccccaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-12T19:00:00;2019-04-12T20:00:00;18
ccccaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-12T20:00:00;2019-04-12T21:00:00;29
ccccaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-15T11:00:00;2019-04-15T12:00:00;1
ccccaaaaa-bbbb-1111-2222-cccc33333dddd4;2019-04-15T12:00:00;2019-04-15T13:00:00;9
